NAME,ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,LOCERROR,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,OBJECTID,SHAPE,SHAPELEN
Primary Route,11001602,5674.3908,5792.8744,2019/01/01 00:00:00+00,,{1E631654-9ADF-423A-AF9E-05A6D71F1949},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152029,,0
Primary Route,11001602,2783.9059,2951.1868,2019/01/01 00:00:00+00,,{62B6F44A-7BE6-4AD6-AA4A-DECC470F6C07},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152030,,0
Primary Route,11001602,2615.6637,2783.9059,2019/01/01 00:00:00+00,,{BE19BA90-2465-47FC-AFD2-B11226A1B936},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152031,,0
Primary Route,11001602,1763.335,1842.8924,2019/01/01 00:00:00+00,,{01B26689-8C56-4571-B674-57BBF802A2E8},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152032,,0
Primary Route,11001602,7698.3369,7773.7123,2019/01/01 00:00:00+00,,{C86BB7C4-8377-4D45-B766-931A7358021F},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152033,,0
Primary Route,11001602,2979.267,3049.3376,2019/01/01 00:00:00+00,,{EB02AC87-523C-4833-A96C-B07B1DB60DB9},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152034,,0
Primary Route,11001602,6962.8109,7231.1203,2019/01/01 00:00:00+00,,{81DED891-1E1A-4D39-8208-8B70A7817185},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152035,,0
Primary Route,11001602,183.8618,314.9574,2019/01/01 00:00:00+00,,{40B81D54-529D-4658-8C3D-ACEF34C29A27},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152036,,0
Primary Route,11001602,4683.1267,4800.928,2019/01/01 00:00:00+00,,{080C90A7-7CC7-468C-A8E1-3D5A15BDB1B6},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152037,,0
Primary Route,11001602,2361.9317,2558.2027,2019/01/01 00:00:00+00,,{DD1A23EA-ECE5-4495-8BED-3A5F5E8B6EFE},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152038,,0
Primary Route,11001602,8345.3416,8770.1666,2019/01/01 00:00:00+00,,{1235A35C-87B4-45AA-A24B-333E175ACB77},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152039,,0
Primary Route,11001602,3729.9615,3856.7719,2019/01/01 00:00:00+00,,{B7E425FA-E25A-4937-9BAE-B314ADE1A928},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152040,,0
Primary Route,11001702,1146.6586,1272.3469,2019/01/01 00:00:00+00,,{12C90698-88C7-4B77-93B9-B424D45EF6D7},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152041,,0
Primary Route,11001702,1272.3469,1403.6768,2019/01/01 00:00:00+00,,{2888CB14-1422-4F1F-B2D0-29838AD2A480},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152042,,0
Primary Route,11001802,1683.9299,1881.8881,2019/01/01 00:00:00+00,,{6FD50DA7-C72A-40E6-A0E7-826A39346AA0},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152043,,0
Primary Route,11001802,2362.148,2443.8056,2019/01/01 00:00:00+00,,{693D55F7-12B0-454B-A540-1F617DE0D03D},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152044,,0
Primary Route,11001802,2526.2123,2608.3377,2019/01/01 00:00:00+00,,{B7783193-8965-49C0-9455-F6657276754B},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152045,,0
Primary Route,11001802,1881.8881,1949.9692,2019/01/01 00:00:00+00,,{3DB5EA54-FCBC-44EA-871A-E0862E0CF0AE},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152046,,0
Primary Route,11001802,2742.261,2764.9524,2019/01/01 00:00:00+00,,{5925838F-0D28-40B7-B6D7-F3050103E828},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152047,,0
Primary Route,11001802,2608.3377,2687.7911,2019/01/01 00:00:00+00,,{D31449AF-9719-4844-BB2D-9B1699FA7A6D},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152048,,0
Primary Route,11001802,2960.3644,3062.1033,2019/01/01 00:00:00+00,,{74F6FB1E-A98A-40F6-BAA5-06CF755BA836},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152049,,0
Primary Route,11001802,2114.8135,2159.8651,2019/01/01 00:00:00+00,,{EB76B528-32A4-44B6-A2CB-FC07AA5E4DB7},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152050,,0
Primary Route,11001802,3062.1033,3169.095,2019/01/01 00:00:00+00,,{FD743CC5-2064-4A28-9E48-B73A04D6985D},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152051,,0
Primary Route,11001802,3169.095,3406.0486,2019/01/01 00:00:00+00,,{89AEC960-384B-45F0-80D6-1C456C76EFC6},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152052,,0
Primary Route,11001802,1949.9692,2032.5163,2019/01/01 00:00:00+00,,{EF003A0E-4DA1-4E85-9853-A6B0497B8FA7},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152053,,0
Primary Route,11001802,2443.8056,2526.2123,2019/01/01 00:00:00+00,,{78CB3D5A-2203-4143-9B5F-B5F752C56A54},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152054,,0
Primary Route,11001802,2687.7911,2742.261,2019/01/01 00:00:00+00,,{EEAEC4E1-04CB-42B2-91BD-9F3EDA4F405C},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152055,,0
Primary Route,11001802,2159.8651,2196.8968,2019/01/01 00:00:00+00,,{66D5D3AD-6572-427E-A16C-EF719ACB8593},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152056,,0
Primary Route,11001802,2032.5163,2114.8135,2019/01/01 00:00:00+00,,{AE45082B-6868-425D-B5C0-2BE698C15F42},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152057,,0
Primary Route,11001802,2857.7382,2960.3644,2019/01/01 00:00:00+00,,{180864CA-F8C7-40BD-B5E1-ED317B214CD3},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152058,,0
Primary Route,11001802,2764.9524,2857.7382,2019/01/01 00:00:00+00,,{EF34C523-A3C5-440F-BDF8-62CE20E9FCB4},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152059,,0
Primary Route,11001802,2279.1163,2362.148,2019/01/01 00:00:00+00,,{3A51C81A-541B-4A61-9A32-62335137BD46},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152060,,0
Primary Route,11001802,1595.743,1683.9299,2019/01/01 00:00:00+00,,{8FFE88C3-E249-4FA6-B569-1DDA2915BEF3},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152061,,0
Primary Route,11001802,2196.8968,2279.1163,2019/01/01 00:00:00+00,,{6BF9BBCA-D1A9-4F7F-99F7-2DE88CA230E9},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152062,,0
Primary Route,11002702,0,33.948,2019/01/01 00:00:00+00,,{CAE7E007-3B66-4F9A-8B17-093B321E2DA3},NO ERROR,,,RH,2020/09/21 13:00:54+00,,152063,,0
Primary Route,11000702,100.8394,271.7869,2019/01/01 00:00:00+00,,{A33484A9-075C-439C-98E1-D94DB26607CF},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152064,,0
Primary Route,11000702,2386.0928,2518.125,2019/01/01 00:00:00+00,,{92F5886C-44BE-4D83-9A31-54C74F0AA1D3},NO ERROR,,,RH,2020/09/21 13:00:49+00,,152065,,0
