NAME,ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,LOCERROR,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,OBJECTID,SHAPE,SHAPELEN,TRUCK_BREAK_OFF,LABEL
Primary Route,0.5,0.10294833122506568,0.11480509380771847,0.5174270331538677,0.0,{A11B7AB6-B4C1-4068-AF73-573BFACBA376},NO ERROR,,,RH,3.5478094062568744e-07,,153291,,0,1.0,1
,0.9025974025974026,0.7494404981998638,0.7541557305336832,0.7001983564749219,0.0,{40FD3060-089B-11EB-BA5D-BCFBADFD65BC},NO ERROR,lmacneil,2020/10/07 12:47:26+00,RH,0.6267488196020743,,154095,,0,1.0,1
Primary Route,0.2012987012987013,0.8005254451688236,0.8114124623310974,0.5174270331538677,0.0,{B5134997-0B8F-4086-88C6-6469347B724A},NO ERROR,,,RH,1.5652100415763925e-07,,152783,,0,1.0,1
Primary Route,0.9415584415584416,0.6986474652135838,0.7170214834256828,0.5174270331538677,0.0,{D81133AD-887E-4D1D-B431-5ACB40A407E2},NO ERROR,,,RH,0.3815877081510237,,154057,,0,0.0,0
Primary Route,0.18831168831168832,0.18507346501897443,0.2030718382424419,0.5174270331538677,0.0,{29B4C45B-287D-4FE8-8D37-237BFDD95622},NO ERROR,,,RH,1.3565153622607795e-07,,152426,,0,1.0,1
Primary Route,0.6818181818181819,0.12309039602996984,0.13035870516185477,0.7001983564749219,0.0,{9BAA12DD-CB69-4D60-AA0C-400E5177A068},NO ERROR,lmacneil,2020/10/07 12:54:31+00,lmacneil,0.014421031313968768,,154103,,0,1.0,1
Primary Route,0.03246753246753247,0.9285783789043496,0.9356469330222611,0.5174270331538677,0.0,{F71DDD64-8237-494B-97CB-4F0D73CD4733},NO ERROR,,,RH,4.1738935863122606e-08,,152005,,0,1.0,1
Primary Route,0.045454545454545456,0.20570205312834486,0.20987654320987653,0.5174270331538677,0.0,{EB76B528-32A4-44B6-A2CB-FC07AA5E4DB7},NO ERROR,,,RH,5.217366805254642e-08,,152050,,0,1.0,1
Primary Route,0.6688311688311689,0.09691544224968376,0.10343151550500632,0.5174270331538677,0.0,{B5B5BF4C-67BB-4C27-9135-C3CCE704C69D},NO ERROR,,,RH,4.1738934442037134e-07,,153563,,0,0.0,0
Primary Route,0.6883116883116883,0.03571081054782524,0.041022649946534456,0.8053272881836211,0.0,{2B2C1C6D-5AD5-416C-84A0-889E227B87D5},NO ERROR,RH,2021/10/13 17:00:14+00,RH,0.8602829144260866,,153991,,0,0.0,0
Primary Route,0.2012987012987013,0.1516006616716941,0.15660542432195976,0.5174270331538677,0.0,{0DA1FB6D-82B3-465D-8599-5603C5CC308B},NO ERROR,,,RH,1.4608627196821544e-07,,152740,,0,1.0,0
Primary Route,0.14285714285714288,0.14060523499075606,0.1534947020511325,0.5174270331538677,0.0,{F363DA4C-53B2-438C-B683-808DB5F18671},NO ERROR,,,RH,1.1478207184723033e-07,,152569,,0,0.0,1
Primary Route,0.6688311688311689,0.08650384353410528,0.0968212306794984,0.5174270331538677,0.0,{67786E53-7318-4698-B347-948E135A8189},NO ERROR,,,RH,4.1738934442037134e-07,,153559,,0,0.0,1
Primary Route,0.48701298701298706,0.7780480685024813,0.8116068824730241,0.5174270331538677,0.0,{2365B6ED-5D7D-45E7-973A-F2147F0BF262},NO ERROR,,,RH,3.5478094062568744e-07,,153262,,0,1.0,1
Primary Route,0.6493506493506493,0.5056923226622555,0.5150189559638378,0.5174270331538677,0.0,{5F80C2B0-2112-40A1-AA66-154FB662071E},NO ERROR,,,RH,0.9999999895652678,,153335,,0,0.0,0
Primary Route,0.13636363636363638,0.26496059161233826,0.2836589870710606,0.592802493624256,0.0,{3F5B929E-A0B8-4DDD-B375-2C063FA12371},NO ERROR,RH,2023/03/31 19:01:49+00,RH,0.8305636767927282,,154207,,0,0.0,0
Primary Route,0.03246753246753247,0.8120073951542279,0.8525323223485952,0.5174270331538677,0.0,{1235A35C-87B4-45AA-A24B-333E175ACB77},NO ERROR,,,RH,4.1738935863122606e-08,,152039,,0,1.0,1
Primary Route,0.6688311688311689,0.024909993188673738,0.03625935646933022,0.5174270331538677,0.0,{86897542-5511-48CA-B8DB-89B902C9FDD7},NO ERROR,,,RH,4.1738934442037134e-07,,153568,,0,1.0,1
Primary Route,0.5,0.18137588790503065,0.18586565568192864,0.5174270331538677,0.0,{507BD04B-D20F-4B2D-8F77-143870D39C26},NO ERROR,,,RH,3.5478094062568744e-07,,153293,,0,0.0,0
Primary Route,0.1103896103896104,0.0,0.008943326528628365,0.5174270331538677,0.0,{C1B04EBD-38E5-4F52-A606-3FD97B02D0F9},NO ERROR,,,RH,7.304313598410772e-08,,152392,,0,1.0,1
Primary Route,0.025974025974025976,0.3281113165320619,0.3331389131914066,0.5174270331538677,0.0,{90B1261D-BACB-466C-B784-F2DC67951D04},NO ERROR,,,RH,2.0869467931561303e-08,,152156,,0,0.0,0
Primary Route,0.03246753246753247,0.6532061885764329,0.6598619616992321,0.5174270331538677,0.0,{ACCBD213-61F3-4D5F-B762-89E52246CE63},NO ERROR,,,RH,4.1738935863122606e-08,,152022,,0,0.0,0
Primary Route,0.7857142857142858,0.3055366352048263,0.3434431807135219,0.5174270331538677,0.0,{051CF06A-A98F-423C-BFE9-2EC2BF701F1B},NO ERROR,,,RH,4.904324768517654e-07,,153886,,0,1.0,0
Primary Route,0.12987012987012989,0.4351464435146444,0.44356955380577423,0.5174270331538677,0.0,{DFB7DF78-21DE-4632-B4B1-3FCDABF57AE3},NO ERROR,,,RH,1.0434733610509284e-07,,152528,,0,0.0,1
Primary Route,0.7077922077922079,0.043105964775712755,0.06901915038397978,0.5174270331538677,0.0,{DF9EBF4E-6C78-4EF4-9B62-A3DBA63D763A},NO ERROR,,,RH,4.3825880879921897e-07,,153652,,0,0.0,1
Primary Route,0.12987012987012989,0.33706334533424154,0.3483036842616895,0.5174270331538677,0.0,{BB5DC520-1F73-4AC5-B4B7-618E9263B958},NO ERROR,,,RH,1.0434733610509284e-07,,152531,,0,1.0,1
Primary Route,0.7402597402597403,0.1089812202004476,0.11917954700106931,0.5174270331538677,0.0,{F75CF230-CF12-4A60-ABC1-6B652879E9F5},NO ERROR,,,RH,4.5912827673078027e-07,,153707,,0,0.0,0
Primary Route,0.03246753246753247,0.179235185365379,0.18683775639156217,0.5174270331538677,0.0,{87A1FB19-3DAD-4D57-A89C-8107B6933B80},NO ERROR,,,RH,4.1738935863122606e-08,,152002,,0,0.0,0
Primary Route,0.18831168831168832,0.4426389024034251,0.4622338874307378,0.5174270331538677,0.0,{E58CD8A4-76DD-4EEC-806A-5555F74623E2},NO ERROR,,,RH,1.2521680403665414e-07,,152642,,0,1.0,1
Primary Route,0.4480519480519481,0.4007978982193247,0.40244969378827644,0.5174270331538677,0.0,{A3F91CA7-08A1-4F4F-9B6C-87FD449C5FD0},NO ERROR,,,RH,3.339114762468398e-07,,153174,,0,1.0,1
Primary Route,0.9415584415584416,0.0472900651941228,0.05706231165548751,0.5174270331538677,0.0,{25E133B4-2C82-4B0E-9A5F-48E6F917CBA3},NO ERROR,,,RH,0.381587697716288,,154047,,0,1.0,1
Primary Route,0.12987012987012989,0.08582271090785248,0.09244677748614756,0.5174270331538677,0.0,{8FCDB2C1-2D67-426A-B88B-84D949234DEC},NO ERROR,,,RH,9.391260391566902e-08,,152490,,0,1.0,1
Primary Route,0.12987012987012989,0.6709156368590056,0.6737630018469913,0.5174270331538677,0.0,{DBE518E7-0C39-4FB0-9BD6-8A9459E53546},NO ERROR,,,RH,9.391260391566902e-08,,152501,,0,1.0,0
Primary Route,0.12987012987012989,0.18186241120949695,0.18849032759793913,0.5174270331538677,0.0,{A3DA2E16-0E5B-4A42-87F7-287EA694E8C7},NO ERROR,,,RH,9.391260391566902e-08,,152505,,0,1.0,1
Primary Route,0.4285714285714286,0.20910771625960883,0.21959755030621173,0.5174270331538677,0.0,{7DB02827-FE4D-420E-B436-05E553228C8C},NO ERROR,,,RH,3.234767405047023e-07,,153124,,0,1.0,0
Primary Route,0.577922077922078,0.24958645519120368,0.2531350247885681,0.5174270331538677,0.0,{B900CB26-1F56-4850-BD7C-FF8A5433064F},NO ERROR,,,RH,3.7565040855724874e-07,,153396,,0,1.0,1
Primary Route,0.03246753246753247,0.17154811715481172,0.17906095071449402,0.5174270331538677,0.0,{01B26689-8C56-4571-B674-57BBF802A2E8},NO ERROR,,,RH,4.1738935863122606e-08,,152032,,0,1.0,1
Primary Route,0.9350649350649352,0.0,0.010984738018858754,0.5174270331538677,0.0,{C30F36FA-4B4B-4EBB-9D87-B4C362E3458C},NO ERROR,,,RH,6.782576811303898e-07,,154029,,0,0.0,1
Primary Route,0.6883116883116883,0.27975090006811326,0.28288130650335375,0.8053272881836211,0.0,{FFA468E8-97C0-462B-86B5-152D74641024},NO ERROR,RH,2021/10/13 17:00:14+00,RH,0.8602829144260866,,154110,,0,0.0,1
